ref_id,SATS_score,GCSE_grade,GCE_AS_grade,GCE_A_grade,GCE_A_Maths_grade
1003709,112,8,B,B,B
1005482,107,6,C,B,C
1005830,95,5,C,C,D
1002813,106,6,A,B,C
1003616,108,7,B,A,B
1008654,98,4,B,C,D
1000128,106,7,B,B,C
1005114,105,6,C,A,C
1001843,96,4,D,D,E
1002502,108,7,B,A,B
1005433,109,4,C,A,C
1002764,114,8,B,A,B
1005140,113,9,B,B,B
1002038,94,5,D,B,D
1007931,97,5,D,C,D
1006076,109,7,C,A,B
1005056,109,4,A,C,C
1003560,109,5,B,B,C
1005777,120,9,A,C,B
1006212,110,7,B,A,B
1009132,114,9,B,A,B
1006768,113,7,A,B,B
1003583,110,8,A,A,B
1002009,102,7,A,A,B
1003577,111,9,B,C,B
1007429,99,4,C,B,D
1005919,103,4,C,B,D
1006095,101,4,B,A,C
1005619,106,4,D,C,D
1008003,120,8,A,C,B
1001393,90,3,D,D,E
1005417,110,6,A,B,C
1005552,92,4,D,B,D
1006988,101,6,B,B,C
1002130,114,7,B,B,B
1002722,106,7,A,B,C
1006266,96,5,C,C,D
1007131,99,5,C,D,D
1009240,110,8,A,A,B
1008887,99,4,D,C,D
1004844,107,5,C,A,C
1004012,105,7,B,B,C
1001727,100,7,C,A,C
1007971,120,9,B,C,B
1000253,110,6,A,B,C
1004293,90,3,D,D,E
1008182,106,6,C,B,C
1003882,100,5,B,C,D
1008673,112,8,B,C,C
1002316,99,4,D,B,D
1008511,104,5,A,A,C
1000088,109,6,C,C,C
1002343,112,6,B,B,C
1003208,95,3,C,B,D
1007334,102,5,C,B,C
1006758,101,4,C,B,D
1003684,100,7,B,A,C
1002731,119,8,B,A,B
1004962,108,6,B,A,C
1003205,95,4,B,D,D
1003553,112,8,B,B,B
1006177,120,8,A,B,B
1004481,113,8,A,A,B
1004260,93,5,D,C,D
1005314,101,7,B,B,C
1006399,115,7,A,C,C
1005326,99,5,D,C,D
1002301,109,6,C,B,C
1008671,111,6,B,A,B
1004520,98,3,B,D,D
1008983,105,4,B,A,C
1008756,90,4,B,B,D
1004761,97,4,C,C,D
1007208,103,4,A,C,D
1006948,95,5,B,D,D
1002335,118,6,B,B,B
1001780,94,4,C,C,D
1006509,101,6,B,B,C
1007521,106,7,B,A,B
1003783,117,9,B,B,B
1004604,94,5,B,C,D
1004896,114,6,B,C,C
1003420,105,6,B,B,C
1006793,97,5,C,C,D
1009078,109,4,B,B,C
1003524,107,6,A,C,C
1002910,100,6,C,C,D
1009142,106,5,C,B,C
1008277,102,4,A,A,C
1009836,106,6,C,C,C
1008951,110,9,A,B,B
1005560,118,7,A,C,B
1005824,95,3,C,D,E
1006129,120,6,B,C,C
1005172,90,5,B,C,D
1009772,104,6,B,B,C
1001332,110,8,A,A,B
1006686,107,6,C,B,C
1007755,100,7,A,C,C
1000418,103,6,B,B,C
1007781,101,7,A,B,C
1007200,100,4,A,A,C
1007528,112,6,B,A,B
1007195,108,4,C,B,C
1008589,99,5,D,B,D
1009757,112,7,B,A,B
1009212,107,6,B,B,C
1007175,112,8,B,B,B
1005495,110,6,A,B,C
1003725,98,5,D,D,D
1002141,101,4,B,B,C
1001623,111,7,A,A,B
1000906,110,9,B,A,B
1001159,105,5,B,A,C
1005279,106,2,E,D,E
1002521,115,7,A,B,B
1001480,100,4,A,C,D
1000332,109,7,A,B,B
1001824,103,7,B,A,C
1005386,103,7,B,C,C
1007514,114,6,B,C,C
1001786,112,7,B,A,B
1000271,112,7,A,C,C
1005267,115,6,B,B,C
1005956,105,7,A,C,C
1002170,110,6,B,A,B
1001708,103,5,B,B,C
1005734,108,4,B,C,D
1004074,104,8,A,A*,B
1001936,106,4,C,B,C
1000305,110,8,B,A,B
1009087,98,5,B,C,D
1005799,120,8,A,A*,A
1003859,97,5,C,C,D
1003335,95,5,D,C,D
1000669,114,8,B,B,B
1007569,111,6,A,A,B
1000884,110,7,B,A,B
1006115,110,8,B,C,C
1004107,105,7,A,A*,B
1008519,98,4,C,D,D
1004575,106,6,A,B,C
1002798,100,6,A,A,C
1006301,113,7,A,C,C
1005578,104,5,C,B,C
1001940,98,5,D,D,D
1002869,102,4,B,C,D
1002580,108,7,B,C,C
1006544,100,5,C,A,C
1006855,98,5,D,C,D
1007495,107,5,B,A,C
1008153,107,7,A,A,B
1005360,101,5,B,B,C
1001688,101,4,C,C,D
1001668,107,6,A,B,C
1004578,93,3,C,D,E
1009788,94,3,C,C,D
1002081,99,3,D,B,D
1003930,103,5,B,B,C
1008712,107,5,C,A,C
1005309,117,7,A,C,B
1003617,112,6,A,C,C
1003390,104,7,C,C,C
1002944,105,5,B,A,C
1007786,97,4,D,B,D
1003428,105,4,C,B,C
1006040,103,7,C,B,C
1008536,108,4,A,C,C
1007222,98,4,D,C,D
1000938,109,7,B,A,B
1002728,117,7,B,A,B
1002695,104,4,A,B,C
1006656,108,7,B,A,B
1007614,111,6,B,A,B
1005137,102,7,B,C,C
1005357,107,4,C,C,D
1002290,105,5,C,C,D
1006680,106,4,B,B,C
1000494,99,3,C,B,D
1009411,105,4,B,C,D
1009279,109,4,B,A,C
1005506,117,6,B,B,B
1003136,113,9,B,B,B
1002733,120,7,A,B,B
1003369,99,3,B,B,D
1000338,112,6,A,C,C
1004343,106,6,A,C,C
1000175,120,7,A,C,B
1008697,99,5,C,B,D
1007092,98,4,B,C,D
1005807,100,4,C,B,D
1002014,90,4,D,D,E
1006961,101,7,B,B,C
1007474,99,3,B,D,D
1000434,106,5,B,A,C
1006114,108,4,B,C,D
1009904,120,9,A,A,A
1003153,113,6,B,A,B
1005782,100,5,B,C,D
1004778,98,5,D,D,D
1005697,109,7,B,B,C
1002563,94,4,C,C,D
1009818,120,8,A,C,B
1004254,114,8,B,B,B
1008174,101,6,C,B,C
1004662,91,4,B,B,D
1008106,116,8,A,C,B
1009802,104,7,C,A,C
1007387,115,6,A,C,C
1003394,92,4,B,D,D
1007028,100,5,A,A,C
1007114,105,6,A,C,C
1000653,105,5,C,B,C
1000936,101,6,C,A,C
1005950,110,7,A,A,B
1008532,96,3,D,C,D
1005257,104,5,C,C,D
1004781,106,5,B,A,C
1005011,109,4,B,C,C
1007085,111,6,B,A,B
1006145,96,3,C,D,E
1009288,93,5,D,B,D
1002769,115,6,A,C,C
1008969,108,5,A,A,C
1001928,99,5,C,D,D
1005544,117,7,B,B,B
1003580,106,5,A,B,C
1004182,114,6,A,B,B
1004869,106,7,C,A,C
1001827,120,6,A,C,C
1001496,119,6,A,B,B
1004855,103,4,C,A,C
1003826,113,9,A,B,B
1006640,110,7,A,C,C
1008746,116,6,B,B,C
1003272,97,4,D,B,D
1005022,110,6,A,B,C
1007411,113,9,A,A,B
1002457,91,3,C,C,E
1003318,96,5,C,C,D
1009996,90,3,B,B,D
1004985,103,6,C,A,C
1003770,111,7,B,B,C
1008067,117,8,B,C,B
1002876,106,7,A,A,B
1002131,118,6,A,A,B
1003506,94,5,C,D,D
1008002,91,5,D,C,D
1008013,105,5,C,B,C
1006920,108,7,B,A,B
1003559,105,4,A,C,C
1004030,90,5,C,D,D
1002885,104,4,C,C,D
1004816,95,4,C,C,D
1003693,110,8,A,A,B
1002029,108,7,A,B,B
1008386,97,4,C,B,D
1003273,101,7,C,B,C
1004005,97,5,B,C,D
1005939,104,6,B,A,C
1003984,113,6,B,B,C
1003374,97,3,C,B,D
1009870,109,4,C,A,C
1008684,101,4,C,C,D
1004316,99,4,C,D,D
1002679,104,6,A,B,C
1005611,97,5,D,B,D
1003992,101,7,B,B,C
1000630,95,3,C,C,D
1007262,120,7,B,B,B
1007767,105,6,B,B,C
1000144,99,5,B,D,D
1008356,107,7,C,A,C
1002374,104,5,C,A,C
1001309,103,6,B,A,C
1000946,110,6,A,A,B
1007702,111,9,B,B,B
1002123,101,5,B,C,D
1002591,100,4,A,A,C
1005520,103,5,A,A,C
1004894,90,4,D,D,E
1003730,93,3,B,C,D
1002478,116,6,B,B,C
1008600,118,6,B,B,B
1007413,103,6,A,C,C
1001687,110,7,B,B,C
1004311,107,5,C,B,C
1007913,120,7,A,B,B
1002901,114,8,B,C,B
1005024,104,5,B,A,C
1006594,97,3,B,D,D
1007940,92,5,C,B,D
1000286,107,5,C,C,D
1008569,99,4,D,B,D
1006143,94,4,D,B,D
1009010,100,6,C,C,D
1006848,96,5,C,D,D
1004838,118,6,A,B,B
1009364,112,6,A,A,B
1009751,105,6,A,C,C
1007004,117,7,B,B,B
1002110,106,6,B,A,C
1003095,98,5,B,B,C
1001791,117,8,A,A,B
1004407,109,7,A,A,B
1004612,97,5,C,C,D
1006492,103,7,C,A,C
1002338,98,4,C,C,D
1005146,94,4,C,C,D
1005012,112,6,A,B,C
1003047,120,6,B,A,B
1007852,94,5,B,C,D
1000540,110,7,D,D,C
1001295,100,7,B,A,C
1001078,101,6,C,C,D
1007489,100,7,B,B,C
1007558,98,5,B,D,D
1003105,105,6,B,A,C
1008235,98,3,C,D,E
1004489,107,7,C,B,C
1001787,105,4,A,A,C
1000474,103,4,A,C,D
1000663,98,5,D,B,D
1008937,100,5,B,A,C
1006894,111,6,B,C,C
1003864,109,6,A,B,C
1003084,97,3,D,D,E
1001339,106,7,C,C,C
1002036,111,9,A,B,B
1009373,92,5,D,D,E
1009557,109,6,B,B,C
1008431,100,5,A,A,C
1001095,110,7,C,D,C
1005059,99,5,C,D,D
1007088,91,5,C,D,D
1005362,92,5,B,D,D
1000507,105,6,B,A,C
1002039,107,5,C,C,D
1000481,98,5,D,D,D
1003316,110,8,A,A,B
1009731,92,5,C,C,D
1004747,104,5,A,B,C
1004129,95,3,C,D,E
1008943,100,5,C,C,D
1002643,105,7,C,C,C
1009803,98,3,C,B,D
1008541,102,6,A,A,C
1009844,113,8,B,B,B
1007483,100,4,B,B,D
1005476,112,7,A,A,B
1001002,96,4,C,B,D
1008330,109,4,C,C,D
1000000,117,9,B,B,B
1000703,90,5,B,D,D
1007467,99,5,C,D,D
1000467,110,8,A,A,B
1007027,103,5,B,B,C
1000777,108,7,C,B,C
1000009,100,4,A,B,C
1000438,106,5,A,C,C
1006263,104,7,B,A,B
1008393,114,8,A,C,B
1000135,107,4,B,A,C
1003818,108,5,C,A,C
1002609,102,7,B,A,C
1009935,101,5,B,B,C
1001559,102,5,A,B,C
1003466,108,5,B,B,C
1000208,102,6,A,B,C
1006107,107,5,C,C,D
1007051,120,8,B,A,B
1003932,112,8,A,A,B
1009000,102,4,C,A,C
1008212,115,8,A,A,B
1000483,102,7,A,B,C
1007532,90,5,B,B,D
1007506,97,4,D,B,D
1001835,90,4,B,C,D
1007481,102,6,B,C,C
1000754,105,4,C,A,C
1001524,118,7,A,A,B
1009963,108,6,B,A,C
1007809,103,5,B,C,D
1007182,112,9,B,C,B
1007856,90,4,D,C,E
1005351,107,7,A,C,C
1000513,111,9,A,B,B
1002054,93,4,C,D,E
1006911,114,9,B,C,B
1004831,108,5,A,B,C
1000800,102,6,C,B,C
1000701,110,7,B,B,C
1005743,120,9,B,A,A
1009791,106,6,B,B,C
1002908,107,6,B,A,C
1008490,101,4,A,C,D
1005413,98,3,D,B,D
1002723,112,9,B,B,B
1006096,98,4,D,B,D
1009200,106,5,B,B,C
1007240,101,6,B,C,C
1003194,109,6,B,B,C
1003708,108,6,B,B,C
1001878,113,9,B,A,B
1004952,101,7,B,A,C
1003767,103,6,C,C,C
1001647,97,5,D,D,D
1001616,101,5,C,C,D
1001518,108,7,B,B,C
1002132,111,8,B,B,B
1004010,98,3,B,D,D
1007799,112,6,B,B,C
1008340,116,7,B,C,C
1007325,108,6,A,B,C
1005313,120,6,B,A,B
1004445,99,3,C,B,D
1007601,95,5,C,C,D
1006526,91,4,C,C,D
1002330,117,7,A,A,B
1009777,110,6,B,A,B
1005319,105,4,C,A,C
1005603,107,4,C,A,C
1006637,96,3,C,B,D
1009680,120,9,B,C,B
1002331,106,5,A,A,C
1003276,106,7,C,B,C
1004113,111,9,A,B,B
1007503,109,4,C,C,D
1004788,107,5,A,C,C
1008865,99,3,C,B,D
1008311,109,6,B,C,C
1001120,120,7,B,B,B
1004228,116,6,B,A,B
1008690,118,7,A,A,B
1007252,101,5,A,B,C
1004021,97,3,B,C,D
1006252,104,5,B,A,C
1000197,105,4,B,A,C
1008085,114,9,A,C,B
1009530,91,3,D,B,D
1009119,117,9,A,A,A
1001477,104,5,A,B,C
1002955,102,7,A,B,C
1000908,97,5,D,B,D
1005854,92,4,C,B,D
1001707,112,6,B,B,C
1006133,106,8,A,A,B
1003171,95,5,D,B,D
1006901,95,5,B,D,D
1007627,102,5,A,A,C
1004028,118,8,A,C,B
1003170,103,5,C,A,C
1003947,93,3,B,B,D
1001519,103,4,A,A,C
1004420,103,5,C,C,D
1001945,90,5,B,D,D
1006310,105,4,C,A,C
1002776,103,5,B,A,C
1009225,111,8,B,C,C
1009864,120,7,C,C,C
1002528,114,9,A,A*,A
1004443,103,7,C,C,C
1004014,96,3,C,C,D
1002782,120,8,A,A,B
1006533,105,4,B,A,C
1002167,105,4,C,B,C
1006921,105,5,A,A,C
1003757,107,4,C,C,D
1004487,104,6,B,A,C
1006261,100,7,B,A,C
1006982,101,7,A,B,C
1000436,105,7,A,A,B
1007989,101,7,C,B,C
1002298,99,4,D,C,D
1006799,106,4,B,B,C
1005616,103,5,B,C,D
1002682,117,6,A,A,B
1006560,90,3,C,D,E
1001050,114,8,B,A,B
1008404,115,9,A,B,B
1003365,90,5,D,D,E
1008044,102,6,B,C,C
1000326,102,7,C,C,C
1006032,94,4,B,C,D
1006755,99,3,B,C,D
1000825,96,5,D,C,D
1004624,119,8,A,C,B
1003949,112,8,A,C,B
1001506,115,8,B,C,B
1008982,111,7,A,C,C
1001797,96,4,D,D,E
1003415,101,4,A,B,C
1009537,109,6,B,C,C
1006711,95,5,C,D,D
1005115,111,7,A,C,C
1002538,103,5,C,E,D
1007675,102,7,A,B,C
1000705,111,7,A,A,B
1006268,109,7,C,A,B
1009354,102,5,B,C,D
1003919,114,8,A,A,B
1002604,96,5,D,D,D
1000815,110,7,B,A,B
1008118,110,6,B,B,C
1000424,103,6,C,C,C
1002923,108,5,C,B,C
1007904,95,4,D,B,D
1007307,112,9,A,A,B
1004798,104,7,C,A,C
1008622,101,6,A,A,C
1004118,113,9,B,C,B
1009093,99,5,D,D,D
1006331,94,4,D,B,D
1005589,93,3,D,D,E
1001805,110,6,A,A,B
1005656,95,5,D,D,D
1009229,119,7,A,C,B
1007705,90,5,A,A,C
1005469,119,5,D,E,D
1000007,107,4,B,A,C
1000251,104,6,B,B,C
1004037,101,5,C,D,D
1000876,108,6,B,B,C
1001213,105,5,A,C,C
1007017,114,6,B,B,C
1005245,106,6,A,B,C
1006630,106,6,C,A,C
1001495,102,5,A,C,C
1008171,105,6,A,A,B
1005106,107,6,B,C,C
1002436,91,3,D,B,D
1003842,94,3,C,B,D
1009053,111,8,A,C,B
1009395,106,6,A,C,C
1009017,104,5,B,C,C
1002040,105,5,B,B,C
1003642,108,6,A,A,B
1002931,101,6,A,A,C
1008129,99,3,C,B,D
1003352,107,5,A,A,C
1003288,97,3,D,B,D
1006795,108,5,C,C,C
1007233,91,5,C,D,D
1005569,113,6,A,C,C
1003198,109,5,A,C,C
1000391,107,6,B,A,C
1005025,113,8,B,B,B
1002470,118,7,A,B,B
1003116,113,7,B,C,C
1006014,90,3,B,B,D
1009264,95,4,C,D,D
1003821,100,6,A,A,C
1002279,105,4,B,A,C
1002296,109,7,C,B,C
1003650,99,5,D,D,D
1008328,106,6,B,B,C
1000441,99,4,D,D,D
1003633,100,5,C,C,D
1002491,94,6,B,B,C
1008883,98,4,D,D,D
1006940,94,3,C,D,E
1004842,97,4,D,C,D
1000879,113,8,B,B,B
1006701,97,5,B,D,D
1003833,120,7,A,C,B
1002033,109,6,C,B,C
1000426,106,6,C,C,C
1004958,98,3,D,D,E
1005588,111,8,B,B,B
1002787,100,4,B,A,C
1007297,106,4,B,C,D
1008717,120,6,A,B,B
1009321,104,6,B,B,C
1009920,114,7,A,C,C
1001118,99,5,B,D,D
1004825,105,6,B,A,C
1003180,119,6,B,C,C
1006767,100,5,C,A,C
1004777,119,5,D,E,D
1008793,111,9,A,C,B
1001874,101,6,C,A,C
1009568,110,9,B,B,B
1005027,113,9,A,A,B
1003503,110,9,A,A*,A
1006561,92,5,C,C,D
1004471,99,4,C,D,D
1003563,103,4,C,C,D
1006685,104,5,C,C,D
1004639,110,9,A,C,B
1004967,106,5,A,B,C
1007232,94,5,B,D,D
1007891,108,7,C,C,C
1007541,110,9,A,B,B
1001589,109,4,B,B,C
1000919,114,8,A,B,B
1006092,112,8,B,B,B
1000793,109,6,B,A,B
1002252,104,6,B,C,C
1002497,92,5,D,C,D
1003082,108,5,C,B,C
1001594,107,5,D,C,D
1003557,107,5,C,A,C
1005274,95,1,E,E,U
1004234,96,3,B,B,D
1008036,113,9,B,C,B
1008224,105,6,A,A,B
1004027,110,9,A,A,B
1001404,105,5,C,C,D
1005646,105,6,C,C,C
1003888,113,9,A,C,B
1002773,101,5,C,B,C
1005109,106,5,C,B,C
1002267,101,5,C,B,C
1003242,102,5,B,B,C
1000351,103,5,A,B,C
1005164,107,7,B,B,C
1004640,101,7,A,A*,B
1004138,115,6,B,B,C
1003058,98,4,B,B,D
1000048,104,4,A,B,C
1009434,101,7,C,A,C
1008464,117,8,B,A,B
1005250,107,7,B,C,C
1009197,113,8,A,B,B
1001663,93,5,D,B,D
1009326,107,6,A,B,C
1005844,112,7,B,A,B
1009330,106,4,A,C,C
1004375,114,7,B,C,C
1005199,101,5,C,B,C
1006242,116,8,B,A,B
1004064,120,6,A,C,C
1005031,102,7,C,A,C
1007735,101,7,A,A,B
1005429,117,7,B,C,C
1003746,118,9,A,A,A
1006710,101,7,C,C,C
1004336,102,5,C,A,C
1007625,103,4,A,A,C
1003636,94,4,D,C,D
1001371,98,4,C,B,D
1006784,97,5,B,B,C
1003125,99,3,D,B,D
1002084,105,6,C,B,C
1007756,107,5,A,B,C
1003163,117,8,B,A,B
1000294,97,3,C,D,E
1000722,113,7,B,C,C
1006205,103,7,A,A,B
1006186,105,4,B,B,C
1008450,110,8,B,B,B
1002590,96,4,C,B,D
1007211,108,5,A,C,C
1004580,106,4,C,B,C
1001055,109,6,B,A,B
1006836,107,7,B,C,C
1001921,120,9,B,B,B
1002397,100,6,A,B,C
1006178,101,5,A,A,C
1009819,100,7,C,A,C
1002518,101,4,C,C,D
1008722,100,7,A,C,C
1000063,115,8,B,B,B
1007600,116,8,B,C,B
1006806,100,6,A,B,C
1000964,98,4,D,D,D
1003330,109,5,B,A,C
1001525,101,4,C,A,C
1007259,110,8,B,B,B
1000714,107,5,A,C,C
1001767,93,5,C,C,D
1003907,117,8,A,B,B
1004696,119,6,B,A,B
1005737,100,7,A,B,C
1001728,102,7,C,A,C
1009567,107,7,A,B,C
1002973,108,4,A,B,C
1002220,110,8,A,C,C
1005722,120,9,A,A,A
1007446,104,6,B,C,C
1007339,99,3,B,B,D
1005037,94,4,C,C,D
1004013,99,3,D,B,D
1003407,105,7,A,A,B
1007928,119,7,A,C,B
1000459,101,7,A,A,B
1005260,107,6,A,A,B
1008491,105,6,C,A,C
1006161,115,6,A,B,B
1000228,120,6,A,B,B
1000366,101,4,C,A,C
1000861,101,4,C,A,C
1001937,113,7,B,A,B
1000492,110,9,B,B,B
1006321,120,6,B,A,B
1004558,110,8,B,C,C
1002342,102,4,B,B,C
1002003,110,9,B,B,B
1009276,114,8,B,C,B
1005425,112,8,B,A,B
1009850,109,6,A,B,C
1008270,114,8,B,A,B
1004277,114,7,B,B,B
1002780,116,9,B,B,B
1003688,110,6,B,A,B
1005394,104,4,B,B,C
1000741,106,4,A,A,C
1006645,115,7,B,B,B
1004308,98,4,C,B,D
1007717,108,4,C,A,C
1008835,102,7,B,B,C
1007538,105,6,C,A,C
1009750,115,9,B,C,B
1003571,107,4,B,B,C
1002990,105,5,C,C,D
1006464,94,4,B,C,D
1005143,111,7,A,C,C
1005753,110,6,A,B,C
1003083,120,6,A,C,C
1009068,103,7,A,A,B
1007844,107,5,B,C,C
1008426,107,7,C,B,C
1008149,118,8,B,B,B
1002035,104,6,B,C,C
1009563,107,7,A,A,B
1000493,110,6,B,A,B
1007330,106,6,B,B,C
1002327,101,6,B,C,C
1002146,107,6,C,C,C
1000618,114,8,A,A,B
1005732,97,5,B,D,D
1009839,106,7,B,B,C
1005224,99,4,B,D,D
1007121,115,9,A,A,B
1001987,93,4,B,B,D
1003121,101,5,A,A,C
1002422,108,7,C,A,B
1001378,118,6,A,C,C
1006376,104,6,B,A,C
1005925,101,6,C,A,C
1002606,120,6,A,B,B
1003791,93,4,B,D,D
1006723,90,3,D,D,E
1001680,109,6,C,A,C
1003931,101,7,B,C,C
1004944,97,5,D,B,D
1005158,111,7,A,B,B
1007025,107,7,C,B,C
1008421,100,6,A,A,C
1003626,95,3,D,C,E
1006649,112,6,B,A,B
1005068,110,9,B,C,B
1004564,104,6,B,C,C
1009484,120,8,B,C,B
1001492,96,3,C,D,E
1006110,93,5,C,B,D
1004909,99,5,B,D,D
1003324,105,4,A,C,C
1008757,107,7,A,C,C
1001798,103,7,C,C,C
1006585,108,5,C,B,C
1005108,95,4,C,B,D
1007405,117,6,B,B,B
1007314,104,7,C,A,C
1009734,114,9,A,A,B
1008634,108,7,A,C,C
1005388,109,7,C,A,B
1008385,110,6,A,C,C
1001037,109,6,C,C,C
1005035,110,7,B,B,C
1004441,116,8,A,A,B
1000409,107,4,C,B,C
1001969,111,8,B,B,B
1000581,104,5,B,C,C
1003309,117,8,B,C,B
1000501,100,6,B,C,C
1002650,119,9,A,B,B
1009260,105,5,A,A,C
1006202,94,5,C,C,D
1007599,106,4,B,A,C
1008727,100,7,A,A,B
1005796,112,8,A,A,B
1003252,100,4,B,A,C
1008417,101,4,A,B,C
1009740,90,4,D,C,E
1004943,101,4,A,B,C
1009314,90,5,B,C,D
1000689,92,5,D,D,E
1008576,111,6,A,A,B
1007217,111,8,B,A,B
1009045,108,6,D,C,C
1001136,97,3,D,C,D
1000477,105,5,C,A,C
1005888,105,5,B,C,C
1006703,96,5,C,D,D
1008833,117,7,B,C,C
1007039,112,6,B,C,C
1000903,103,6,C,A,C
1001328,105,5,B,B,C
1002845,107,4,A,A,C
1009040,90,4,C,C,D
