reference_id,SATS,GCSE,GCE_AS,GCE_A
746046096,92,3,D,D
582697225,98,1,U,U
136637404,107,4,B,D
381975364,104,3,B,C
463518687,103,5,C,D
446429758,104,3,D,D
299105586,107,5,B,B
363736293,97,2,E,E
951578245,111,4,A,C
718621684,110,5,A,A
917987311,108,4,C,B
955020657,109,5,D,D
351657655,107,5,C,C
378111856,120,7,A,B
368703932,104,5,U,U
651378737,103,5,C,D
158468377,99,1,E,U
957529202,97,2,D,D
729656279,95,1,E,U
669084664,98,3,C,C
678514858,104,4,C,C
523723542,108,4,C,D
111798607,105,4,B,B
823580346,99,1,E,E
405153561,112,7,B,C
932469156,111,4,C,C
319859990,104,4,D,D
493540103,100,5,B,C
846209426,109,4,D,C
236592577,107,4,D,D
347892483,93,3,C,D
812732712,104,3,B,C
385566482,107,3,D,D
961851634,98,3,C,D
584008702,107,5,B,C
842700408,93,4,D,E
592659368,116,6,B,B
140660004,115,9,A,C
829876157,103,5,B,C
477799096,108,4,C,C
449135452,86,2,E,E
762700730,96,1,U,E
353047817,103,4,C,C
647418989,96,2,D,E
633912569,111,7,B,B
755452936,120,9,A,C
174017084,96,1,E,C
993337756,98,3,E,D
647325709,107,3,B,C
656468937,118,7,A,A
894351870,95,1,E,U
541660216,107,3,B,B
127300658,120,8,B,A
952717134,92,3,E,E
175460249,95,4,E,E
716492633,102,5,C,B
248515692,101,4,D,D
513709561,112,7,A,C
307486271,107,3,C,D
604272101,91,3,C,C
914587766,109,3,D,D
656932100,100,3,D,D
759233289,115,9,A,A
685303800,100,5,B,B
310372618,100,4,C,B
191482629,109,3,B,C
990780733,111,4,C,C
387646498,109,5,B,B
953801668,92,1,E,C
338968998,109,5,D,C
122437548,97,2,E,E
950476726,107,4,B,C
905309147,94,3,D,E
374225923,109,3,B,B
465666258,99,2,U,U
702595644,95,2,D,D
280366782,111,5,C,C
420575333,107,3,D,D
751620056,100,5,C,D
121171147,117,9,A,C
639555460,101,5,C,B
792255951,105,4,B,D
411566442,107,4,D,D
585018516,100,3,D,D
121789458,109,5,C,B
626977550,101,5,B,B
307782864,102,4,B,E
765933391,116,8,A,A*
335165975,97,4,C,U
205723365,86,3,E,U
130564993,118,7,A,A
275832879,120,6,B,C
296447193,102,4,D,C
134664625,90,4,C,C
219580254,103,3,B,C
241579669,103,4,B,D
971340246,103,5,D,D
843639821,96,2,U,D
525083906,110,5,A,B
185412584,109,4,D,C
987574834,93,4,E,E
752369703,111,5,C,C
264888888,120,8,B,A*
657739001,106,3,C,D
136568810,102,3,C,B
498018730,104,3,D,D
892409217,110,7,C,C
503112509,91,2,E,U
591173666,106,4,D,B
984828138,102,4,C,D
732378768,120,9,B,C
702451303,104,4,B,D
378829644,118,9,A,A*
274966613,96,1,U,C
452473679,110,5,A,C
839905129,108,5,C,C
189571648,98,2,D,C
248776242,106,3,B,D
627242404,115,8,A,A
818607463,102,5,B,C
977562944,91,3,E,E
628432187,105,3,C,D
360432984,98,3,C,U
468919496,102,4,B,B
382833157,104,3,C,C
198117071,91,2,U,E
295810401,92,1,C,E
631971754,109,4,B,B
778311877,101,5,B,C
981664102,84,1,D,E
892175609,111,6,B,A
386445716,107,3,B,B
944727673,99,1,E,E
947681120,94,1,C,C
553151829,112,4,C,A
284632166,108,4,D,C
799816759,120,8,A,A
201662305,108,4,D,B
424980790,108,4,B,B
578902403,104,4,B,B
877286157,112,6,C,A
978832783,110,5,C,C
836192988,115,8,B,A*
536377415,101,4,C,B
176435161,102,5,D,B
871045305,101,3,B,B
525291698,111,7,C,C
598642784,117,7,A,A*
865001631,101,4,C,D
218954674,102,4,D,D
831466683,108,5,C,D
561353663,103,5,D,C
717573249,113,7,C,A
653869536,87,4,C,D
341495576,98,1,U,C
566328544,99,1,E,D
572437000,86,1,U,D
961083014,97,3,E,C
703078921,98,4,C,U
601641857,103,5,D,D
461754380,114,4,B,B
403424255,103,3,D,D
687040958,97,4,D,U
893995377,105,3,B,C
615205153,113,6,A,C
694031383,97,3,C,C
395184780,98,2,D,D
602355704,109,4,D,D
614680748,103,4,C,B
713953517,110,5,B,C
384599250,105,3,D,B
423363860,111,5,C,A
478767690,97,4,C,U
362825068,105,5,C,D
276035283,103,5,B,C
550180467,95,1,D,C
869518729,92,5,C,B
128563935,110,5,A,A
699032866,102,4,B,B
834876397,97,3,D,U
841835561,104,5,D,D
867401531,114,7,B,B
385651511,87,1,D,U
190772659,93,4,C,C
995893578,98,3,C,C
729987718,117,6,B,A*
421489156,107,4,C,B
866845551,111,5,A,C
418341724,96,2,D,E
774390185,96,3,E,D
964571913,109,4,D,C
689558393,105,5,C,C
272052307,109,3,D,D
940098095,103,3,C,C
483179445,107,4,C,C
660827697,106,5,B,D
650698960,111,4,B,C
321827324,111,4,B,C
642819018,92,4,D,D
451662856,87,3,D,E
414635429,113,7,B,A
873021136,115,8,B,C
749797575,97,1,D,C
540515736,90,2,E,U
117239956,106,4,C,B
738081660,112,5,C,A
249875889,119,9,B,B
781246974,109,4,B,C
759433599,102,3,D,B
855511465,98,3,C,D
730244505,105,4,B,D
946909303,103,5,A,C
168702974,97,1,D,E
391870597,120,6,B,B
153458533,119,6,B,B
255315536,114,4,B,C
436257753,98,1,C,U
121078754,112,5,B,A
456559030,110,7,C,A
201956102,109,3,B,B
852101105,115,8,A,C
769695711,110,7,A,A
510115556,111,7,A,A
610604761,110,6,B,B
362459329,108,3,B,C
537075429,91,4,D,E
798094055,106,5,B,C
569305174,101,4,D,D
814101328,95,2,C,U
536273620,118,7,B,C
425944416,119,9,B,A*
905328099,116,7,B,A*
911230879,107,3,D,B
305814577,116,9,A,C
516801099,105,3,D,D
795248876,107,4,B,B
335108062,96,1,C,D
773954397,108,3,C,C
312308970,105,4,C,C
950268750,95,2,C,E
872691071,105,4,C,C
651927003,104,5,C,D
176998061,119,8,A,A
923812717,112,7,A,A
278988001,105,4,C,C
260952226,107,3,U,A
745447359,105,3,B,D
450200137,103,4,D,B
880917611,96,1,U,D
885925839,104,4,B,C
824737414,99,4,C,U
853390795,95,4,E,E
591307763,109,3,C,D
884666034,108,3,C,D
923772618,91,1,C,E
352413234,104,3,B,B
655856222,113,7,C,A
873336455,113,4,A,A
450638674,113,5,A,B
819636441,105,5,C,D
568114842,98,1,E,U
329442203,96,4,E,C
743547652,108,3,D,D
694008934,108,5,D,D
566666047,115,6,A,A
657737839,114,6,A,C
264348526,104,4,B,D
826743370,95,4,D,D
712074304,102,5,C,D
980009811,107,3,C,B
945053779,103,4,B,D
516281988,100,3,D,B
864327536,107,5,D,B
103008697,101,4,C,C
877476494,100,3,B,D
250979783,107,5,D,B
334469116,102,5,B,D
533694487,107,5,B,C
734776414,107,5,D,D
418491496,96,4,D,C
944575481,101,3,D,B
804536803,117,9,A,B
795285122,96,3,D,C
840636928,88,1,E,E
644067308,90,4,U,U
800606275,105,4,B,C
195118762,105,5,D,D
656322923,104,4,B,C
612365384,115,7,B,A
437250486,84,2,D,D
821460058,108,4,B,B
996364278,117,7,B,A*
539248024,96,2,C,C
395886583,102,5,D,B
962179187,99,4,E,U
376105460,98,4,C,C
473483430,102,4,D,B
220341853,116,8,B,B
839537438,120,9,A,A
131943286,102,3,C,D
849932200,120,9,A,A*
868304536,105,3,C,B
873151936,119,9,B,A*
227580642,104,5,B,C
425868246,106,3,C,B
788682419,108,4,B,C
800481294,120,9,A,A*
918917899,112,5,B,B
965136788,99,1,E,D
799934251,113,7,A,B
817529771,102,4,D,C
638153855,101,4,D,D
492710438,112,7,B,B
957999460,105,3,D,C
920877956,107,2,E,C
314763962,105,3,C,D
475152319,108,5,D,C
684091728,108,3,B,C
547048119,90,1,D,C
643911865,110,6,A,A
188588489,97,3,D,E
657449070,93,4,U,U
857532047,105,3,B,B
968853102,106,5,B,C
420078016,99,4,E,U
378688360,112,4,B,B
615018979,94,1,D,U
327010738,102,3,B,C
451277582,100,4,D,D
256112846,105,3,B,C
447099823,107,5,C,C
953006605,97,2,C,C
481504648,111,5,B,C
783130138,106,3,B,B
487387381,90,4,C,D
490064950,89,2,U,U
419721714,105,4,B,D
225493379,103,4,C,D
279090760,104,5,D,C
738809575,105,3,B,B
257159963,107,4,B,A
282772935,113,4,C,C
413086569,96,1,E,U
210354001,96,3,D,U
961308213,96,2,U,U
930931923,107,4,C,B
572382975,115,6,B,C
193493204,102,4,C,B
187841721,85,2,U,U
374070692,91,1,C,E
906046347,98,1,C,D
557404674,101,3,C,C
829416775,102,3,B,D
700563049,105,5,C,C
751104985,103,4,D,D
628664381,113,5,A,B
342046057,100,4,B,B
333719538,98,3,C,C
626932496,109,5,C,B
911465356,93,4,E,D
145683962,108,4,D,C
282064774,106,5,C,D
566438734,104,5,B,D
137965060,118,6,A,C
101779597,100,4,B,B
675716253,120,9,B,C
309004151,103,3,D,D
137112722,95,1,E,C
237023225,106,4,C,D
238941520,96,2,C,E
410961502,99,1,D,E
746261878,108,3,B,C
872517889,109,5,C,D
578977960,100,3,C,B
952677190,113,4,C,C
812132548,114,4,C,C
248552568,116,9,A,C
761934671,109,5,D,D
966978939,116,8,B,A
862189536,90,3,U,D
157903520,102,4,D,B
255408574,98,4,D,U
767184799,106,4,B,B
176930612,100,3,B,D
665625386,104,3,A,E
683474590,120,9,B,B
134398218,104,3,C,C
732411910,108,5,B,B
567435906,103,5,B,B
722858628,106,3,C,B
261005516,105,3,C,B
462006142,109,3,D,D
904720607,114,4,C,C
675329619,118,7,A,C
996379091,107,5,D,C
532326154,110,5,C,B
717156355,96,4,D,C
236115712,104,4,C,B
461797965,113,4,C,B
599705011,112,4,B,B
373416122,107,3,C,D
298191309,112,5,C,C
494078651,109,3,B,D
891609060,115,7,A,C
474435908,107,3,D,D
708862858,102,5,D,B
629537767,108,5,D,B
611969116,82,3,U,U
815294519,108,4,B,D
450465252,80,3,E,E
516419745,91,2,E,C
657666510,109,5,B,D
533870825,109,3,D,C
511645105,96,2,E,U
596161497,99,2,U,U
353292646,116,6,A,A
613123704,101,4,B,B
722808857,120,9,B,A*
738818252,105,3,B,B
689554812,108,5,C,B
750372047,118,9,A,A
379264629,106,4,C,B
537342012,97,4,E,D
710030645,104,5,C,C
696534775,105,4,D,D
546417611,94,2,U,D
336798920,103,4,D,C
919035412,99,1,E,U
586738321,112,6,B,C
521196176,105,5,B,C
784005300,103,5,D,B
371976663,104,4,C,E
156080799,107,4,D,C
111250645,110,6,B,A
559172257,97,4,U,D
873339180,97,1,E,E
108779554,114,5,B,A
710966283,102,4,B,B
450847227,94,4,D,D
119547370,109,4,B,D
433589412,109,3,B,B
681946809,93,1,E,E
670377926,107,4,D,C
863929394,111,6,C,C
988686042,108,5,B,C
148988072,110,4,B,A
872201078,94,3,U,E
108713185,108,5,D,B
955843375,103,4,D,C
160983793,101,4,B,D
166701467,112,6,C,B
986983362,117,8,A,A
353752645,119,6,B,A
443385713,116,9,A,C
367288822,104,5,D,C
241106635,108,3,C,B
163918490,111,4,B,C
221827945,106,3,D,B
861985518,106,3,D,C
124290574,112,4,C,B
905796402,105,3,B,C
298079929,99,2,C,E
644476598,102,5,C,D
901891834,110,6,A,C
136367934,105,3,B,B
742932247,108,3,D,C
941104400,110,7,A,C
496498548,102,4,B,D
505678148,111,5,A,B
234877956,108,4,B,B
890742851,95,3,E,U
962646998,117,6,A,B
546868292,101,5,B,B
723050830,92,2,D,U
418765517,97,2,D,U
103516124,97,2,D,C
215740239,105,5,D,D
907161853,103,4,D,C
819072787,102,3,C,B
185403285,110,6,B,A
821813479,108,3,D,B
894861841,108,5,D,D
588708263,108,4,B,D
506148290,110,5,B,A
884764459,88,2,D,E
447778273,102,5,B,B
529209386,88,3,E,D
947858454,105,4,B,B
929355159,105,5,B,B
667235861,113,6,C,C
683619820,115,9,A,A*
762780148,107,4,D,C
925369345,101,5,B,B
848036238,109,4,D,C
838114482,101,3,C,B
359801111,105,3,D,D
826861034,113,5,B,A*
880511255,101,3,D,D
585737869,111,6,A,A
558442760,110,7,A,B
586497122,97,4,E,E
605103055,113,6,E,C
549727882,111,4,B,C
936204470,106,4,B,D
470372804,99,1,C,E
301912057,98,1,C,C
883712629,101,5,D,D
475374843,109,4,B,D
260702266,97,1,C,C
310805889,109,5,B,C
671767516,95,1,E,U
664954023,103,3,C,D
319048704,106,4,D,C
587674236,120,6,B,A*
733720411,94,3,E,U
299258643,117,9,B,A
498973923,106,4,C,C
352514172,108,3,C,D
946031467,106,3,B,C
445210855,109,4,C,C
870266201,104,4,C,B
892167754,117,9,A,A*
947175565,101,4,C,C
144206219,114,6,B,A
448079933,100,4,B,D
243085699,105,3,D,B
141535869,96,3,E,E
596787845,109,5,C,C
640808531,117,7,A,A
623775523,104,3,D,C
475818223,103,5,C,D
808154818,96,3,U,E
581517828,103,5,D,D
286507952,92,1,E,C
689116200,98,4,C,D
846109395,107,3,B,D
373996105,116,6,B,B
517130095,120,6,B,A
903368247,100,3,C,B
479124411,116,8,A,A*
342579908,107,6,A,D
407495277,104,4,B,D
513307939,108,5,D,C
111256227,105,4,C,B
422328617,106,4,B,C
879298611,102,5,B,D
174765698,94,4,E,D
555841818,93,4,C,U
603380449,110,7,C,A
742865496,103,6,D,B
606092961,100,4,D,B
768419206,105,5,C,D
581155426,111,5,A,C
651568642,106,5,D,B
173791993,100,3,C,B
119173884,115,6,B,C
247668584,118,7,B,A*
585872500,109,4,D,C
429465899,113,5,B,C
503205117,115,9,A,A*
990493552,114,6,C,C
438923949,110,6,A,A
499729220,110,5,C,C
552469824,109,3,D,D
796799500,96,4,C,E
760193532,111,7,B,C
981448882,94,2,D,U
672133901,99,3,D,D
650156897,115,9,A,A*
602000935,112,6,A,C
532140218,117,7,B,A
280835438,103,3,B,C
644172841,96,5,E,D
645516077,103,3,B,D
242610473,106,3,B,B
741623373,106,3,B,B
572661135,114,6,A,C
507058764,102,5,C,B
601845083,108,4,D,B
623314553,97,2,C,C
485173272,109,4,B,D
876515131,105,5,D,D
242421068,99,3,U,C
435787562,103,5,D,C
457841137,104,4,B,C
189786222,103,4,C,B
180168700,119,8,A,B
902257305,104,4,D,C
796986231,103,4,C,B
428485408,88,1,D,E
734424633,98,2,U,E
366421123,103,1,A,E
159685463,100,4,B,C
478152541,116,9,B,A*
638848100,104,3,C,D
568873685,115,8,B,C
255111112,105,3,B,D
858980159,105,3,C,C
668363863,104,4,C,D
748144256,105,5,D,C
561952820,119,6,B,A*
787462129,86,3,U,U
796549354,89,1,D,D
863012367,101,3,A,D
733962483,105,4,D,C
152333727,111,4,C,B
415300631,109,3,B,D
633005955,102,4,C,C
500378708,113,6,B,A
786174642,113,7,A,C
440172012,106,5,B,B
812156797,113,6,B,A
883280250,107,4,C,D
895444489,101,3,C,C
917401716,111,6,C,A
548414130,106,3,C,B
318330546,105,4,C,D
175723765,117,9,B,B
