ref_id,SATS_score,GCSE_grade,GCE_AS_grade,Alevel_Maths_grade
1005041,101,5,B,B
1002801,105,7,A,B
1004436,118,8,A,A
1006071,115,7,B,A
1008362,112,9,A,A*
1009934,98,4,C,C
1009351,104,7,B,B
1008276,120,8,B,A
1008978,93,3,C,D
1007917,104,7,A,B
1003996,113,7,A,A
1005454,103,7,B,B
1005107,108,5,A,B
1005714,103,7,B,B
1001752,105,5,B,B
1000850,97,4,D,C
1001456,107,6,A,B
1009000,111,6,B,B
1007672,106,6,A,B
1001945,99,4,C,C
1005427,115,6,A,A
1000510,90,5,D,D
1001745,105,7,B,B
1006716,107,6,C,B
1002650,99,4,B,C
1002157,111,9,A,A*
1004158,109,4,A,B
1002842,114,8,A,A
1006765,115,9,A,A*
1002439,102,7,A,B
1002692,117,9,A,A*
1000905,107,4,C,C
1000654,102,7,A,B
1008418,105,7,B,B
1003771,93,4,D,D
1004519,112,9,A,A*
1007437,112,9,A,A*
1000752,98,5,D,C
1001301,103,5,C,C
1005587,96,5,C,C
1001071,100,5,C,C
1002011,99,4,D,C
1008552,117,7,B,A
1005230,90,3,D,D
1000757,118,6,B,B
1001798,92,5,D,C
1003231,116,8,A,A
1000571,107,5,C,B
1007285,100,4,B,C
1007736,104,6,A,B
1003842,100,7,C,B
1003838,91,3,B,C
1000009,109,7,C,B
1004643,96,5,B,C
1003345,103,4,C,C
1007462,97,3,C,C
1007340,101,6,A,B
1004927,102,6,A,B
1005846,110,8,B,A
1003946,112,6,A,B
1009514,90,5,B,C
1009681,113,8,A,A
1006893,97,4,A,C
1000120,101,5,C,C
1006295,104,7,B,B
1008575,105,5,A,B
1008854,114,8,A,A
1006629,100,4,C,C
1002585,112,8,A,A
1007382,114,9,A,A*
1008013,97,4,B,C
1006986,99,3,C,C
1001175,96,5,C,C
1001298,108,7,C,B
1008250,114,7,A,A
1002934,114,7,A,A
1001986,98,5,C,C
1002545,106,7,C,B
1005601,90,3,C,D
1000635,108,4,C,C
1002976,111,7,B,B
1006330,113,8,B,A
1008327,109,5,A,B
1004715,110,8,A,A
1006587,112,8,A,A
1004170,101,7,B,B
1008123,105,7,B,B
1005697,93,4,B,C
1003486,90,5,B,C
1003123,104,6,A,B
1009252,104,5,A,B
1006729,95,5,C,C
1008462,105,5,C,C
1004242,108,7,A,A
1007412,98,4,D,C
1006271,90,4,D,D
1008336,104,4,C,C
1003383,113,7,A,A
1004713,108,5,C,B
1006781,107,4,C,C
1001453,106,6,C,B
1008846,111,9,A,A*
1007519,102,4,C,C
1000199,99,4,B,C
1001550,98,4,D,C
1003081,101,7,B,B
1009381,116,6,B,B
1008223,113,6,A,A
1003114,104,6,B,B
1005440,110,8,B,A
1000866,99,4,B,C
1009989,106,7,C,B
1000802,104,5,B,B
1006761,95,4,B,C
1005174,113,9,A,A*
1005541,90,4,C,C
1001203,93,3,B,C
1006264,110,8,B,A
1001666,104,7,A,B
1000292,99,3,D,D
1005740,95,6,B,C
1008563,98,3,D,D
1006874,105,7,B,B
1008812,107,6,B,B
1005667,117,7,A,A
1001712,99,4,B,C
1004201,103,4,D,C
1002627,103,7,A,B
1001641,92,4,D,D
1009889,100,5,C,C
1004279,93,3,D,D
1003173,109,7,A,A
1004811,98,4,D,C
1008093,100,5,C,C
1006495,92,4,B,C
1005136,108,6,A,B
1008956,108,7,A,A
1006687,95,3,D,D
1002300,104,7,B,B
1007922,117,7,A,A
1001319,95,3,C,C
1000541,100,4,B,C
1008404,100,5,A,B
1004106,98,3,B,C
1006254,115,7,B,A
1003244,101,4,B,C
1004308,93,5,D,C
1002522,93,5,D,C
1008619,119,7,A,A
1001605,108,4,B,B
1003208,103,5,C,C
1006492,101,6,A,B
1009397,95,5,B,C
1003044,113,8,B,A
1009237,97,5,B,C
1002005,97,3,C,C
1002554,108,7,B,B
1001652,105,7,B,B
1002481,104,4,C,C
1006705,103,4,A,B
1001334,113,8,A,A
1001236,98,3,D,D
1005359,112,6,A,B
1008761,114,7,A,A
1007120,95,4,C,C
1007247,103,5,C,C
1001140,91,3,B,C
1005325,102,7,B,B
1002677,105,5,B,B
1007426,107,4,A,B
1003855,90,4,B,C
1007216,97,4,B,C
1006875,96,3,D,D
1007102,119,8,B,A
1002699,103,5,C,C
1000606,105,4,A,B
1000117,105,7,B,B
1004883,103,7,C,B
1007657,104,6,C,B
1007097,104,3,D,C
1003602,99,2,C,D
1001788,109,5,A,B
1007406,100,5,B,C
1008232,100,7,C,B
1006280,106,7,B,B
1003623,101,4,A,B
1006010,118,7,B,A
1004518,108,4,C,C
1008227,105,6,C,B
1007058,109,5,A,B
1002862,113,6,A,A
1002469,99,5,C,C
1001886,92,3,C,D
1009938,93,5,B,C
1002630,115,7,A,A
1000231,106,6,A,B
1003352,106,6,B,B
1004750,110,6,B,B
1000328,98,4,D,C
1000083,98,5,C,C
1001634,105,7,C,B
1007337,102,5,A,B
1009454,99,3,B,C
1004838,106,5,B,B
1006223,107,7,C,B
1000028,115,8,B,A
1005321,98,3,C,C
1004033,112,8,B,A
1009395,115,9,A,A*
1007584,112,6,B,B
1007387,111,7,A,A
1006409,109,7,A,A
1008608,112,9,A,A*
1000492,106,5,C,C
1003709,100,5,C,C
1008010,108,7,C,B
1000359,110,6,B,B
1004809,116,9,A,A*
1009174,112,8,A,A
1009597,97,5,D,C
1006714,102,6,A,B
1008395,111,8,B,A
1008877,100,5,A,B
1002579,100,4,A,B
1008713,93,4,C,C
1004738,111,9,A,A*
1007758,111,8,A,A
1009692,90,5,C,C
1007690,105,5,C,C
1008692,93,4,B,C
1001076,98,4,C,C
1004948,99,5,D,C
1000515,110,7,A,A
1007248,120,8,B,A
1009094,106,5,C,C
1008160,110,6,A,B
1000584,105,6,A,B
1000442,111,9,A,A*
1002307,99,3,D,D
1004472,98,5,C,C
1001948,110,8,B,A
1004180,105,7,C,B
1008760,97,5,C,C
1000024,104,4,B,C
1000310,101,5,C,C
1003409,102,6,C,B
1009592,97,5,D,C
1007692,114,8,B,A
1008473,105,7,C,B
1000831,103,6,A,B
1002901,105,5,C,C
1009349,115,6,B,B
1001422,97,3,B,C
1008389,113,6,A,A
1008531,97,4,D,C
1006720,107,4,C,C
1001249,96,4,D,C
1005283,103,7,C,B
1007762,96,5,A,B
1002366,113,9,A,A*
1000153,105,4,C,C
1002072,106,7,A,B
1004827,94,4,B,C
1002581,107,5,B,B
1005532,102,7,C,B
1005570,90,5,D,D
1009784,96,3,D,D
1009268,113,8,A,A
1004197,105,6,C,B
1002728,106,7,C,B
1003813,92,4,B,C
1000738,106,6,B,B
1003057,106,9,A,A*
1009823,109,5,B,B
1008085,104,4,C,C
1006423,111,7,B,B
1003851,112,6,B,B
1007357,106,8,A,A
1001949,105,5,D,C
1008007,100,4,C,C
1004658,99,5,B,C
1004989,100,3,B,C
1005209,114,6,A,A
1005437,98,5,B,C
1001191,112,6,A,B
1003327,108,4,C,C
1004147,101,5,B,B
1001137,97,5,D,C
1000837,100,3,C,C
1002201,118,8,A,A
1000704,104,7,B,B
1003350,94,3,B,C
1002077,102,6,A,B
1002540,100,5,B,C
1004380,102,4,A,B
1000271,105,4,C,C
1000753,104,7,A,B
1007894,120,8,B,A
1009439,106,5,C,C
1008588,102,5,A,B
1008593,106,6,A,B
1003752,116,6,B,B
1002181,96,5,D,C
1009198,90,4,B,C
1004209,116,8,B,A
1009894,114,6,A,A
1008885,108,7,C,B
1004464,109,7,B,B
1008860,101,7,C,B
1001664,116,8,A,A
1008613,108,5,A,B
1006636,104,4,B,C
1006445,100,4,A,B
1002370,90,5,C,C
1009431,110,9,A,A*
1001919,116,9,A,A*
1008764,102,4,A,B
1008226,109,6,B,B
1008777,108,7,C,B
1004368,109,5,A,B
1006501,112,8,B,A
1005189,106,5,A,B
1005702,109,6,C,B
1007516,113,8,A,A
1006496,99,3,D,D
1009602,97,5,B,C
1009070,103,6,C,B
1006380,98,2,E,D
1004259,101,4,B,C
1002986,105,7,A,B
1008651,93,3,D,D
1008972,98,5,D,C
1001231,111,8,B,A
1000486,102,6,B,B
1002846,108,4,B,B
1004888,108,7,C,B
1000133,110,9,A,A*
1005546,101,7,C,B
1000742,90,5,B,C
1009714,112,6,B,B
1008488,120,6,A,A
1003769,106,6,B,B
1003679,104,7,A,B
1003545,98,4,B,C
1005246,103,4,C,C
1006731,99,5,B,C
1009880,90,4,D,D
1003890,113,9,A,A*
1007220,103,6,A,B
1008511,114,9,A,A*
1005166,109,5,B,B
1006801,105,6,A,B
1007330,93,5,D,C
1007000,111,7,A,A
1000790,103,6,B,B
1007949,105,5,A,B
1000214,99,3,B,C
1006527,111,6,A,B
1007418,109,6,A,B
1002151,102,6,C,B
1009448,99,5,D,C
1008857,111,5,D,C
1005033,98,5,D,C
1002865,107,5,B,B
1004836,90,5,D,D
1008579,119,6,A,A
1007541,112,8,A,A
1005978,98,4,B,C
1005609,100,4,B,C
1003936,97,5,B,C
1000341,91,3,C,D
1006088,120,9,A,A*
1005685,90,4,D,D
1005000,110,9,A,A*
1007468,106,4,A,B
1004903,110,9,A,A*
1007018,102,6,A,B
1007252,93,3,D,D
1005426,114,8,A,A
1008102,101,5,B,B
1002975,96,3,C,C
1007634,119,7,B,A
1001504,100,5,B,C
1004372,106,7,C,B
1000715,109,7,C,B
1009998,106,6,B,B
1000707,98,4,B,C
1004035,103,6,B,B
1009527,111,7,B,B
1008436,111,7,B,B
1003006,103,7,C,B
1005645,97,4,B,C
1005748,94,5,D,C
1003779,109,7,B,B
1002931,120,9,A,A*
1008324,100,6,B,B
1002482,113,9,A,A*
1004335,99,4,D,C
1001323,109,7,B,B
1004741,94,5,C,C
1003185,106,5,D,C
1005757,120,9,A,A*
1009515,94,3,C,D
1004459,107,5,A,B
1002656,106,4,A,B
1005276,96,4,B,C
1006198,110,6,B,B
1009504,100,6,C,C
1003160,110,8,A,A
1002601,108,6,A,B
1005559,110,7,B,B
1004116,92,5,D,C
1000670,114,9,A,A*
1001857,106,4,B,B
1000421,95,5,D,C
1000585,111,7,A,A
1008973,111,7,B,B
1000872,118,7,A,A
1003972,107,4,B,B
1006847,95,3,C,C
1001283,106,7,A,B
1005643,112,8,A,A
1001916,111,7,A,A
1005213,100,4,C,C
1004140,115,9,A,A*
1002006,103,5,B,B
1001097,98,4,E,D
1008574,106,7,C,B
1006116,106,6,A,B
1005665,107,4,C,C
1000131,108,4,C,C
1009619,102,7,A,B
1004281,91,5,C,C
1002547,102,6,B,B
1004319,114,6,A,A
1002003,119,7,A,A
1004606,101,5,C,C
1001043,111,6,B,B
1006180,92,3,B,C
1009292,91,5,D,C
1006093,98,5,D,C
1001416,102,6,B,B
1006756,112,6,B,B
1003570,105,6,A,B
1007882,101,5,B,B
1006973,103,5,A,B
1001171,108,5,B,B
1006472,106,7,B,B
1007016,114,6,A,A
1009730,107,5,B,B
1002491,111,6,B,B
1004922,96,5,C,C
1008366,109,5,B,B
1002101,96,3,D,D
1005632,104,6,B,B
1001364,103,6,C,B
1000869,111,6,B,B
1008587,112,9,A,A*
1004610,91,5,D,C
1007615,107,4,C,C
1001892,117,9,A,A*
1008263,101,4,C,C
1007078,108,4,B,B
1003038,104,5,C,C
1008709,104,7,A,B
1005181,113,9,A,A*
1005600,108,6,C,B
1003220,112,7,B,B
1003445,92,4,D,D
1008017,104,4,C,C
1002278,111,7,A,A
1002475,120,7,B,A
1009550,100,4,B,C
1007773,100,4,C,C
1002094,103,5,C,C
1006092,95,5,D,C
1002203,112,6,A,B
1005157,111,9,A,A*
1006797,105,5,C,C
1001285,111,7,B,B
1006136,120,9,A,A*
1008696,97,4,D,C
1000311,108,5,B,B
1007318,100,7,C,B
1000554,97,5,C,C
1001702,91,5,C,C
1006662,115,7,A,A
1008053,97,6,B,B
1009727,112,9,A,A*
1006732,90,6,B,C
1006333,104,4,A,B
1005466,118,6,B,B
1002532,116,7,B,A
1008753,103,7,A,B
1000285,108,5,C,B
1002929,117,7,A,A
1009221,93,4,C,C
1005598,115,7,B,A
1009218,106,7,B,B
1008902,105,4,A,B
1008931,110,8,B,A
1002035,105,7,B,B
1009024,103,6,B,B
1000148,120,7,A,A
1004049,104,4,B,C
1005499,98,4,C,C
1000258,114,8,A,A
1009031,107,4,B,B
1009458,113,7,A,A
1008245,104,6,A,B
1009882,92,5,C,C
1005858,92,3,B,C
1008969,117,8,B,A
1002389,108,5,A,B
1004477,103,7,B,B
1003525,115,8,B,A
1008542,108,5,A,B
1002364,94,5,D,C
1002402,111,9,A,A*
1002396,102,6,A,B
1000383,110,7,B,B
1001433,113,6,B,B
1001697,107,5,A,B
1000413,117,6,A,A
1001531,97,4,D,C
1008786,99,5,B,C
1005390,114,6,A,A
1002413,101,5,C,C
1005853,99,4,D,C
1005698,115,6,B,B
1004087,101,4,C,C
1008725,103,5,C,C
1004161,96,4,B,C
1006452,96,3,U,E
1008899,117,7,B,A
1000754,110,8,B,A
1003951,105,7,C,B
1005445,108,6,B,B
1000419,108,5,A,B
1006703,116,7,A,A
1002926,108,6,C,B
1005682,111,7,B,B
1001881,104,7,A,B
1004954,107,4,A,B
1009990,119,9,A,A*
1001579,112,6,A,B
1006158,116,9,A,A*
1001040,97,5,C,C
1001294,101,4,B,C
1004776,101,7,A,B
1000579,95,4,C,C
1003539,117,6,A,A
1008036,120,7,B,A
1008052,107,7,B,B
1004675,95,3,D,D
1005607,98,5,D,C
1009279,96,4,D,C
1002073,112,7,A,A
1000113,95,5,B,C
1007233,106,5,A,B
1008536,107,6,C,B
1001135,108,4,B,B
1000932,90,3,C,D
1005241,90,5,C,C
1005431,90,5,B,C
1001351,96,3,C,C
1006301,97,5,B,C
1004196,116,8,A,A
1000913,105,6,C,B
1000193,97,5,B,C
1005517,95,4,D,D
1002843,107,6,A,B
1003302,115,8,B,A
1001148,110,9,A,A*
1005040,104,7,A,B
1001818,117,7,A,A
1005735,97,4,B,C
1001192,96,4,C,C
1005088,95,3,B,C
1001567,106,6,B,B
1009854,107,7,A,B
1006895,109,5,C,B
1002266,113,6,A,A
1007435,97,4,D,C
1006076,101,5,B,B
1003339,103,7,B,B
1008357,94,4,D,D
1001668,120,7,B,A
1001787,94,5,D,C
1001540,103,6,C,B
1009644,116,8,A,A
1003755,107,4,B,B
1004336,90,3,C,D
1000301,90,5,B,C
1001930,103,8,A,A
1004661,103,7,A,B
1006240,115,9,A,A*
1009355,94,3,C,D
1000352,95,3,B,C
1003529,96,3,D,D
1008371,107,4,B,B
1003453,114,8,B,A
1000472,103,5,C,C
1009337,98,5,D,C
1002525,104,6,A,B
1000724,103,4,C,C
1008208,101,5,A,B
1002723,108,5,A,B
1004622,97,1,E,E
1009800,97,5,B,C
1006439,107,7,B,B
1003563,120,8,A,A
1001474,110,6,A,B
1001366,93,5,B,C
1000848,107,5,B,B
1002424,114,7,A,A
1001216,110,7,A,A
1004769,116,8,B,A
1009917,120,9,A,A*
1004404,100,4,C,C
1000366,99,4,D,C
1008769,94,4,D,D
1005916,98,4,B,C
1003119,107,4,B,B
1001885,105,4,A,B
1008110,104,5,A,B
1003683,105,4,A,B
1003880,106,5,B,B
1003681,112,9,A,A*
1002616,107,7,C,B
1004326,113,9,A,A*
1006738,103,7,B,B
1002645,90,4,C,C
1006408,104,7,B,B
1005260,107,7,B,B
1006307,109,7,A,A
1001403,90,5,C,C
1001408,101,6,B,B
1005533,108,7,A,A
1008971,111,9,A,A*
1006137,115,6,A,A
1007739,91,5,B,C
1007379,102,5,A,B
1009957,105,6,B,B
1002017,104,4,B,C
1008239,103,4,B,C
1004359,102,7,A,B
1004425,106,7,B,B
1005384,104,7,C,B
1006216,90,3,B,C
1007035,110,9,A,A*
1009683,111,9,A,A*
1003263,95,4,B,C
1000800,110,6,B,B
1006817,111,7,B,B
1003994,113,9,A,A*
1006305,93,5,B,C
1008182,95,3,D,D
1009179,98,3,D,D
1000363,115,7,A,A
1004808,103,4,C,C
1001263,96,4,C,C
1003308,104,7,B,B
1008944,96,3,B,C
1007065,112,6,A,B
1003259,96,4,D,C
1008028,114,9,A,A*
1003667,115,6,B,B
1006359,104,6,C,B
1003429,99,3,C,C
1001095,102,5,C,C
1007876,108,7,A,A
1009298,96,5,B,C
1006043,104,7,B,B
1007617,98,4,C,C
1008221,120,8,B,A
1008031,97,3,D,D
1005090,92,4,C,C
1003594,99,4,D,C
1008685,112,7,A,A
1007561,90,5,D,D
1007116,102,4,B,C
1003211,103,6,A,B
1003865,97,3,B,C
1009671,116,6,A,A
1000179,114,9,A,A*
1001107,120,6,A,A
1002301,93,4,C,C
1002240,104,6,C,B
1005982,105,9,A,A*
1002121,115,8,A,A
1003082,100,7,C,B
1000539,90,5,B,C
1003622,95,3,B,C
1002305,120,7,B,A
1005927,95,4,B,C
1001374,112,7,A,A
1003311,119,7,A,A
1001661,114,9,A,A*
1001796,104,7,C,B
1001519,98,3,D,D
1000809,112,6,A,B
1002256,109,5,B,B
1002162,113,6,A,A
1009173,104,5,C,C
1004873,97,4,D,C
1009606,113,9,A,A*
1007878,90,3,B,C
1002833,112,7,B,B
1000326,91,5,C,C
1006469,97,4,D,C
1002879,98,4,D,C
1003918,98,3,B,C
1006614,103,7,A,B
1003954,120,8,A,A
1008025,96,3,D,D
1000908,115,9,A,A*
1007184,101,7,B,B
1009007,100,7,C,B
1002849,105,5,A,B
1004525,113,8,B,A
1000225,93,4,C,C
1002840,102,5,B,B
1006034,105,6,C,B
1002724,117,6,A,A
1007497,97,5,C,C
1005799,105,7,C,B
1001265,94,5,B,C
1002088,112,4,D,C
1001350,91,5,C,C
1001651,101,5,B,B
1003663,108,5,B,B
1007372,94,5,C,C
1006177,107,6,C,B
1003915,103,5,C,C
1009981,103,7,B,B
1002321,109,7,C,B
1005844,97,4,D,C
1000095,111,9,A,A*
1009059,109,4,A,B
1008431,99,5,C,C
1007669,94,3,B,C
1007025,117,6,A,A
1003708,110,9,A,A*
1000270,110,8,A,A
1001611,113,7,A,A
1002773,93,5,D,C
1001173,115,9,A,A*
1007938,106,7,C,B
1006658,105,5,B,B
1003961,114,8,B,A
1005552,110,7,B,B
1007727,110,6,A,B
1000030,104,5,C,C
1001035,114,9,A,A*
1005254,105,5,B,B
1000527,106,6,C,B
1006540,97,3,C,C
1002506,104,7,B,B
1008507,105,6,A,B
1002937,92,3,C,D
1001717,105,5,A,B
1006830,112,6,A,B
1006531,112,9,A,A*
1002315,91,5,B,C
1006387,101,7,A,B
1002460,95,3,B,C
1003265,104,5,B,B
1008628,98,5,C,C
1004538,114,8,A,A
1001132,110,9,A,A*
1001543,95,5,D,C
1004498,92,3,D,D
1004753,97,5,A,B
1009641,110,7,B,B
1009142,102,4,C,C
1000420,110,9,A,A*
1004943,112,9,A,A*
1001846,115,8,B,A
1005278,112,6,B,B
1006101,101,6,B,B
1004664,90,3,C,D
1000519,113,7,B,B
1000417,109,6,B,B
1000295,104,4,B,C
1005700,90,5,B,C
1006008,104,4,B,C
1006591,106,4,B,B
1001979,113,8,B,A
1000504,97,3,B,C
1004460,106,7,B,B
1001522,111,8,A,A
1001871,108,4,B,B
1000983,120,7,A,A
1000780,102,5,B,B
1008762,110,8,A,A
1004320,104,5,A,B
1000423,110,7,B,B
1008844,115,8,A,A
1002767,113,8,A,A
1001972,111,7,B,B
1003293,106,6,C,B
1007409,100,5,C,C
1007517,95,3,B,C
1006143,108,5,B,B
1005150,105,7,C,B
1000695,91,5,D,C
1006436,96,3,B,C
1003824,99,3,C,C
1005388,105,7,C,B
1004915,106,6,C,B
1004726,96,5,B,C
1002966,112,9,A,A*
1007721,102,6,A,B
1009571,95,3,D,D
1003903,102,6,B,B
1003647,90,5,B,C
1001512,104,7,B,B
1004492,100,7,A,B
1008544,105,6,A,B
1006125,119,6,B,A
1006641,92,5,C,C
1000830,102,4,B,C
1000405,100,4,B,C
1004293,103,6,B,B
1008299,109,7,B,B
1008836,98,3,B,C
1002274,115,7,A,A
1003991,106,6,B,B
1004378,99,3,B,C
1003870,106,6,A,B
1004781,120,8,A,A
1006626,116,9,A,A*
1005096,95,7,A,B
1007187,98,3,D,D
1001100,120,7,A,A
1007121,117,6,B,B
1007532,120,6,A,A
1007768,111,8,B,A
1009752,105,6,A,B
1004303,107,5,C,B
1004005,98,5,C,C
1004624,94,4,D,D
1009780,101,4,A,B
1005063,102,7,C,B
1008880,99,3,D,D
1004868,94,5,C,C
1003091,119,9,A,A*
1008193,100,7,B,B
1004148,100,4,A,B
1007464,98,3,C,C
1003829,111,9,A,A*
1009757,115,6,B,B
1003167,104,7,C,B
1009348,108,5,A,B
1001969,105,7,A,B
1005344,102,4,A,B
1001087,109,6,C,B
1007051,104,7,A,B
1005195,106,5,C,C
1003325,104,7,B,B
1000046,90,5,D,D
1008785,104,6,C,B
1001268,115,7,B,A
1004029,99,4,C,C
1004957,118,6,A,A
1006170,113,7,A,A
1009205,109,4,C,C
1000744,105,7,C,B
1003493,98,5,B,C
1002107,100,4,B,C
1008100,107,4,A,B
1007126,101,7,C,B
1009920,118,8,B,A
1004891,117,8,B,A
1000623,104,5,C,C
1008316,106,5,B,B
1004874,100,5,C,C
1001849,107,4,B,B
1005510,114,7,B,A
1009460,98,3,D,D
1006103,109,4,A,B
1007014,113,6,A,A
1000463,98,5,D,C
1005768,105,5,A,B
1007818,103,5,B,B
1002711,112,9,A,A*
1003585,100,6,A,B
1003221,106,7,A,B
1005934,100,7,A,B
1006963,92,3,B,C
1004566,111,7,B,B
1009650,111,8,A,A
1001624,90,5,B,C
1008840,109,5,E,C
1005275,104,6,C,B
1004349,115,8,A,A
1004692,109,5,A,B
1004699,116,6,B,B
1005074,105,4,C,C
1002631,95,3,D,D
1003740,100,7,B,B
1005605,110,7,B,B
1005304,109,7,A,A
1003226,111,8,A,A
1003318,103,4,C,C
1004523,105,4,A,B
1005960,105,5,A,B
1008279,109,4,A,B
1009450,90,5,D,D
1004207,110,8,A,A
1007551,102,6,A,B
1009925,104,4,B,C
1008953,99,5,D,C
1002678,99,3,B,C
1006379,116,7,B,A
1003844,114,6,A,A
1003550,113,7,A,A
1001005,119,9,A,A*
1008141,107,4,C,C
1009895,120,8,A,A
1009018,112,9,A,A*
1001344,99,5,C,C
1003193,110,6,B,B
1008063,118,7,B,A
1007530,101,5,C,C
1008800,114,8,B,A
1004742,93,5,B,C
1001840,98,5,B,C
1000491,109,4,C,C
1000933,96,5,B,C
1007867,104,5,B,B
1003312,111,7,B,B
1009818,97,3,B,C
1003067,110,7,B,B
1000275,116,9,A,A*
1007572,102,6,A,B
1008699,118,9,A,A*
1005336,92,3,B,C
1006925,99,3,D,D
1005200,96,4,B,C
1007029,103,5,B,B
1004419,105,6,B,B
1002537,108,5,A,B
1005120,97,5,D,C
1000751,104,5,C,C
1000838,96,4,B,C
1009952,105,4,C,C
1008670,107,5,C,B
1003385,103,5,C,C
1007191,99,4,D,C
1005261,95,5,D,C
1005583,108,4,A,B
1005725,111,9,A,A*
1001613,114,7,B,A
1007249,104,4,B,C
1000984,99,5,A,B
1008452,113,6,B,B
1002093,97,4,B,C
1000903,110,7,A,A
1000755,92,4,D,D
1008483,120,6,B,A
1007194,103,4,B,C
1000279,90,5,D,D
1003747,100,7,C,B
1002625,111,7,A,A
1001141,98,5,D,C
1000204,98,5,D,C
1008168,120,6,A,A
1001990,108,5,C,B
1006435,92,5,B,C
