Ref_ID,SATS,GCSE,GCE_AS,GCE_A_level
64242545,110,5,A,B
61607840,115,4,B,C
66371090,115,6,A,C
76332751,90,6,B,U
47214999,95,4,D,E
50264477,109,2,B,D
47421902,109,3,D,D
66593348,109,4,C,C
55855543,120,2,A*,C
66082152,110,2,C,C
20360318,115,2,A*,B
62406178,114,3,A,A
91772267,111,4,A,B
17594062,101,5,D,D
52541620,112,2,B,C
13447645,96,4,E,D
76548797,102,1,E,A*
58672110,99,4,U,D
34044927,105,1,A,E
55721320,120,6,A,B
84871254,85,3,E,D
49371959,111,5,A,A
54639378,88,3,E,D
69372160,99,1,D,U
63318077,115,9,B,A
52067373,105,2,C,D
33185298,93,3,C,E
63943739,97,2,U,E
49193469,111,3,B,A
86884564,97,1,D,C
90671915,106,5,B,C
40060163,104,2,D,B
92666040,97,1,A,C
24789760,120,3,A*,C
39919618,110,1,B,B
71184516,84,1,U,U
10497058,106,1,D,D
59037425,97,4,C,E
76033389,113,3,B,C
74843456,96,1,U,D
12110669,103,4,B,B
30937694,109,2,B,D
61728783,113,4,B,C
20473094,92,1,U,D
68328663,101,1,D,C
53179599,99,3,C,C
15150924,97,2,B,A
50023464,120,1,B,A
67052913,108,2,D,B
18317028,91,3,E,E
76462342,113,1,A,C
26987477,120,1,A,C
79339996,114,4,C,C
65608619,89,3,D,E
33894464,99,2,E,C
29809514,117,3,A*,A
65003754,97,4,C,C
85604483,108,5,C,B
66581766,112,3,E,A
75257603,95,1,E,C
94815380,103,2,D,D
24575920,80,1,E,D
17386298,94,2,E,D
89158324,101,1,D,B
30951175,92,1,D,D
11941622,120,8,A,B
33448033,90,1,C,E
88760472,100,5,D,B
74735000,105,5,C,C
84487342,118,5,B,C
26245488,90,1,E,D
85266042,116,7,B,A
84851646,104,3,D,B
50846658,94,7,U,D
53869778,109,1,C,C
43568484,106,4,B,C
32103431,98,2,E,C
40809779,105,1,D,C
97691205,100,5,B,B
97493635,105,2,C,C
33097682,111,7,C,B
63866523,120,3,A*,B
49620546,92,2,E,D
28154832,120,9,B,B
12970511,84,3,D,D
30132597,102,4,B,B
35060591,110,2,A,C
70128634,107,2,D,B
30002820,98,4,U,D
81629324,102,2,C,C
96213377,99,2,E,U
98369892,98,4,E,E
48264137,112,5,C,B
42376190,108,3,C,D
26218979,97,4,U,U
39205359,113,3,B,B
96824049,107,5,B,D
43354452,112,2,C,C
91301766,110,5,A,C
83265674,96,3,D,C
77065108,98,1,C,D
75927938,111,5,B,C
81019968,110,1,B,B
77499713,104,3,A,A*
44152705,105,3,B,D
87476170,117,3,A,A
78836754,98,2,C,E
13021459,109,3,D,B
96579250,102,5,D,C
58308860,102,5,U,E
88676744,115,7,B,A
89002235,112,4,B,C
63042664,112,3,C,C
51174913,117,7,B,C
70322417,104,2,D,E
78511740,111,5,C,B
52844315,101,2,C,C
75425668,107,4,C,B
72587322,103,3,D,D
95232353,105,3,C,C
48993307,110,1,A,C
25647151,96,3,E,U
12432513,120,3,A*,B
65489681,94,4,C,D
55724026,92,3,C,E
79282021,116,5,B,B
13800257,112,1,C,A
77722875,110,2,A,A
33753151,110,4,A,A
21271456,104,6,A,A*
84407154,95,4,U,D
48341977,105,2,D,C
37037051,97,2,C,E
90767451,114,4,A,C
23241983,103,3,C,B
83890647,96,1,C,E
49788903,101,3,C,C
22015195,108,3,C,B
47145321,98,4,U,U
49598325,96,1,C,U
51569932,106,4,B,B
74071017,106,3,D,D
57725864,99,2,C,U
50469201,99,2,D,E
54767386,106,2,D,B
71517436,90,4,C,D
87697267,90,1,E,D
38513254,97,4,D,D
93845858,102,4,B,C
47184683,107,2,C,D
14729619,119,2,B,C
47294500,113,5,B,C
95735443,102,5,D,C
54614479,104,1,B,C
81844023,94,2,D,D
80248415,104,6,U,A*
65932046,101,5,D,D
93747037,107,5,B,D
65817482,96,3,U,E
57663279,109,1,D,C
57670594,119,4,A,A
82324210,103,3,C,D
34987403,108,2,D,C
70315627,111,1,A,A
18731873,100,4,B,C
45702993,106,5,C,C
97494961,104,1,B,B
97532318,105,3,B,C
16459382,96,2,U,E
79791401,104,2,D,C
30178242,109,5,B,B
35505931,119,7,A,B
92870239,114,5,C,B
57680266,120,2,B,B
87757101,96,2,D,E
99267921,113,4,A,C
25009935,106,5,B,D
99237400,120,2,A*,A
53235156,96,2,E,C
91862674,96,2,C,U
56369217,98,1,C,U
30971111,83,3,D,U
67199210,99,1,C,U
56579385,96,3,C,D
32674439,106,2,C,C
74966361,107,1,B,D
37426337,120,1,A*,C
29436897,114,7,D,A*
19086157,98,2,E,U
68599727,95,1,D,U
71568181,109,2,C,C
77872334,91,1,U,D
75225481,120,4,U,A*
88249585,116,5,B,B
54318657,99,4,U,E
71982488,87,3,E,D
20457555,118,6,A,B
90245513,103,2,D,C
39779179,116,4,A*,A
12277903,88,2,U,E
23301499,98,4,E,U
23874440,104,1,D,B
27935493,104,1,B,C
99931393,99,3,C,U
18316614,110,1,C,C
15722649,93,2,U,E
19877807,103,5,C,B
52155024,105,3,B,D
71031922,109,3,C,B
58379822,111,3,A,A*
89354075,93,4,E,D
28048772,89,3,U,U
19201958,117,8,A,C
39136616,107,5,B,B
91498463,97,3,D,B
97354597,120,8,B,A
92420608,105,3,B,B
38262181,116,8,A,C
85683127,105,4,C,D
49739541,120,5,A,B
31139172,120,1,A,A
92372154,102,2,B,B
25004525,114,1,B,A
81993561,110,3,B,A
10898447,118,2,A*,A
74009117,94,2,U,E
96954886,111,3,B,C
56120803,115,6,A*,C
58065833,86,1,C,A*
86236390,92,4,C,D
40856474,84,1,U,E
66815744,101,1,B,D
77021565,111,5,C,A
35036995,119,7,U,E
74369772,105,1,D,C
53959998,120,7,A,C
60513924,90,4,C,U
85263583,87,2,D,U
21432176,103,2,D,B
99595815,108,5,C,C
44170046,104,7,B,U
12452717,83,3,U,U
41145412,103,1,E,U
37070806,91,1,D,C
28384108,111,1,A,A
44817522,108,3,B,B
30266027,95,4,U,U
80343620,99,4,E,E
32076980,93,1,C,D
99631679,103,3,C,C
92755484,114,2,A,C
15357962,94,2,E,C
50401776,109,6,B,B
66413157,99,4,U,U
46440741,96,3,C,E
30252402,103,7,U,A*
59689770,94,3,C,U
58613621,98,3,U,C
24615396,92,4,U,C
23698455,120,9,A,B
50518396,104,3,D,C
24363678,97,2,C,D
84207780,106,7,E,A*
68273221,103,2,B,B
55071862,102,1,B,C
42932321,110,7,A,C
93196736,112,7,C,B
39761609,99,2,D,C
81629418,98,3,E,D
71431345,101,5,C,D
92987482,81,2,U,D
58523161,89,1,D,U
70697609,118,9,A*,B
87102640,120,5,B,B
21691531,102,5,B,B
36484518,110,2,A,B
60691984,107,6,C,U
11834597,120,6,A*,C
12582020,115,8,A*,A
13772255,103,1,B,D
48108965,94,1,D,E
34371743,88,1,D,E
33617104,106,2,C,B
84967338,96,3,U,C
34193181,90,4,E,C
52960805,98,1,D,U
20662442,93,4,E,D
94685202,120,8,A,A
92816143,113,4,A,C
68912566,104,2,C,B
62464602,119,3,A,B
97099525,105,4,C,B
77333211,95,1,C,D
93649308,119,8,A*,B
42684992,109,4,C,D
58469836,94,1,U,U
97067609,102,4,C,C
53686153,95,2,U,U
25481437,90,3,U,D
55394521,113,2,C,A
30109477,120,5,B,A
37129790,90,2,D,C
64803402,110,5,U,A
80390913,97,5,U,A
98235291,99,3,U,E
69171227,98,3,U,E
11166843,95,3,D,C
90326069,104,5,B,C
12261008,96,1,U,E
31409430,107,2,C,B
56093334,103,4,D,C
81555984,102,2,B,D
20525433,95,2,D,U
14493528,98,1,E,D
65294450,112,7,C,A
17009247,109,2,B,D
47986757,94,3,C,E
22737661,105,2,C,D
74447720,112,7,D,D
24140176,87,1,E,D
70652599,109,1,D,B
93648900,97,4,U,C
46057867,110,4,C,C
92182550,96,1,U,D
55041330,86,1,D,E
49301974,88,3,D,U
38465615,104,3,U,A*
35763596,107,4,D,D
87312931,95,4,C,U
79994832,110,1,B,B
67427264,87,2,U,U
98271593,103,1,D,E
89177505,92,1,C,U
36454698,97,1,U,D
73973935,104,2,C,C
77073662,95,2,E,C
66461070,100,2,D,C
58228429,114,3,B,C
47043360,98,2,E,E
18817241,112,3,A,A
28208038,93,3,C,E
67971955,109,3,D,B
43635257,118,2,A,A
74725136,80,6,C,D
13831355,96,3,C,D
88729081,110,1,C,B
19780483,102,2,D,C
11658746,108,4,D,C
20349886,98,3,U,E
29101907,105,5,D,C
92668200,102,1,C,D
95468978,116,9,A*,C
85421312,107,4,C,C
90832362,107,5,B,D
15556561,100,3,C,B
56353837,99,3,E,E
21043344,100,5,D,B
23346547,108,1,C,B
34029003,100,1,B,D
44568447,107,3,C,B
50153230,120,4,B,C
77790083,113,5,B,B
29529810,101,1,B,D
17179261,116,3,B,B
57904169,100,2,B,C
97855339,84,8,B,A*
26000009,94,1,B,A
71448735,85,3,U,A*
54655759,100,8,B,U
30099344,104,3,C,C
37397958,120,9,A*,A
52902152,107,3,C,D
21061134,102,2,B,D
50967911,112,6,A,B
82064023,82,3,U,E
25992046,106,5,C,D
20988197,112,3,B,A
21425157,89,3,D,D
23207004,115,6,A,C
95832984,107,4,C,C
58022040,100,4,D,D
56005586,110,1,B,B
31376483,120,4,B,B
65923540,106,3,D,B
23547486,106,2,B,D
50462257,99,3,C,E
33243029,96,4,U,D
73905739,112,1,C,U
78652400,95,4,C,E
91011120,105,5,D,B
51150455,99,2,D,U
72451439,109,3,C,B
35578371,107,1,C,B
38637075,114,7,A,C
42363132,99,4,C,E
35868958,101,1,C,B
72447432,94,4,E,U
67831810,100,4,D,B
50728308,108,4,B,D
83876682,112,4,A,A*
69640851,95,2,D,U
45195244,113,5,C,B
50976705,118,7,A,C
16216041,108,4,B,B
73735441,120,5,B,A
82056318,96,5,U,B
60879648,92,1,C,D
26293016,86,2,E,E
54088737,119,3,A,A
46988325,111,2,B,C
24112409,103,3,U,E
44927573,107,3,C,U
26507257,93,3,C,U
57118783,120,4,B,B
25820769,105,5,D,C
99358205,105,3,C,D
16411020,111,5,A,B
99169759,109,4,B,C
80442155,106,4,C,C
97760301,96,2,U,D
71221110,109,6,E,A
21617090,120,5,A*,C
55878699,117,5,B,B
69555429,120,9,B,C
81405755,99,4,U,C
16882864,94,2,C,D
39183144,103,5,D,B
31282555,105,2,B,U
31547645,115,3,A*,C
99561239,87,1,D,D
62729950,119,8,A*,B
62170322,102,2,D,D
74475357,100,5,B,C
22927923,94,4,U,U
41717408,87,3,E,D
13953229,112,3,A,D
32758879,105,3,B,D
67701875,91,1,E,D
66258741,91,2,U,D
33615730,101,4,B,D
20413767,120,5,A*,B
57137633,101,4,D,C
33819308,89,1,E,D
93931685,102,4,C,D
50561313,101,4,B,D
60491545,80,2,U,D
31661638,103,1,C,B
27554090,102,5,C,B
24783746,111,7,B,C
68926597,120,6,A,C
99577925,115,6,B,A
53541384,101,1,D,C
14770810,93,4,D,D
22146327,120,6,A*,A
39086780,105,2,B,C
59291119,104,2,D,D
46644311,104,1,C,B
38576739,106,4,B,C
26880998,103,1,B,D
13803023,98,1,D,D
10844629,99,3,D,C
87831770,104,1,D,C
90045338,99,1,D,D
80424716,97,3,C,U
64489802,105,4,D,D
48354036,101,4,C,D
67006260,119,8,A,C
17573726,80,1,D,U
41284102,115,7,A,B
59287304,116,8,A,B
17378678,83,1,U,U
88723381,101,5,C,B
35037431,100,4,B,D
80811591,90,3,C,D
61403500,96,2,C,C
49284123,93,5,A,A*
34658224,120,7,A*,A
36346750,113,5,C,C
29097004,117,1,A*,B
14625361,111,3,B,B
47848291,93,1,C,E
11257398,99,4,D,E
95550924,109,1,C,D
97169233,92,1,C,D
37609471,111,4,C,C
47510998,102,2,B,B
77979187,100,4,B,D
68403461,111,2,C,A
31266648,108,3,D,C
79756492,100,4,B,B
85315706,116,2,E,A
38671698,93,4,U,C
33163601,110,2,C,B
61019190,110,3,B,B
80043898,101,3,C,D
35276231,107,3,C,D
50088763,91,4,E,E
99856500,113,6,A,C
76680701,102,2,C,D
48840880,99,2,D,C
38011943,114,1,B,A
67940553,97,4,E,D
92769011,90,1,C,E
87633969,88,2,E,E
44111800,110,1,C,B
29693485,91,1,E,C
75996099,120,2,B,A*
88283149,83,1,E,D
54697741,120,2,B,B
67443369,106,2,B,B
91449415,103,1,D,D
72031644,99,8,U,A
92106363,108,2,B,B
53358486,104,5,C,C
88060674,115,8,B,A
56979769,105,3,D,D
37659395,106,1,D,D
18175243,100,5,C,B
15679624,103,5,D,B
69114308,107,3,C,B
28452373,87,3,D,E
30539070,91,1,D,D
66729434,111,5,B,A
50514182,106,4,C,B
16856171,102,4,C,D
65185199,104,4,B,C
22926336,107,5,B,B
14086406,99,3,D,C
68700107,96,1,D,C
22624678,106,5,A,B
66596753,94,4,E,U
17194605,108,3,D,B
85957506,87,3,U,E
25481416,114,1,A,B
16805771,109,3,C,B
56997746,107,7,E,D
33817330,114,4,B,B
60477674,120,7,A,A
65951577,114,4,B,C
55720872,86,1,D,E
10583962,91,2,U,D
49633355,98,2,D,U
57662616,104,1,B,C
24970894,109,4,B,C
93685165,97,3,D,E
33182068,106,3,D,B
23111617,96,3,U,C
97448401,98,2,C,C
35364773,90,3,E,E
57059745,95,3,C,E
95842370,90,1,C,U
63058706,94,2,C,C
18698361,115,7,A*,C
66772303,95,4,D,C
30796200,120,2,B,B
21369390,109,3,D,D
92962605,106,5,C,B
84247373,95,3,C,U
19677466,111,4,C,B
37486520,98,4,C,U
16911573,105,5,B,D
96995248,120,7,B,C
26737647,103,5,B,D
83291560,115,2,A,A
80659726,97,6,D,C
72185488,104,6,D,A*
48528973,120,8,A,B
14513135,98,4,D,D
82784350,120,4,A,C
35449656,111,2,A,C
91922679,98,3,C,C
41118694,110,4,A,A
10557956,114,6,C,A
11490305,110,7,U,C
52887789,88,2,E,E
34250097,97,4,U,E
78369470,102,1,C,C
88070383,103,5,D,C
22701241,110,4,A,A
42153313,106,4,D,D
57491557,91,1,U,E
84512041,108,4,B,B
87254790,110,5,B,C
14809708,110,4,B,A
94963300,115,5,B,A
12997247,112,7,A,C
18598217,109,4,C,C
37544391,103,3,B,B
88731739,87,3,U,D
34136125,108,2,B,B
47054724,106,1,B,C
17058069,107,2,B,D
12264081,91,1,D,C
54895620,93,3,D,C
18151846,115,4,A*,C
10306802,104,3,B,D
54841609,111,1,A,C
81933644,104,3,B,C
90036306,104,5,D,C
97799355,113,4,B,B
93503142,99,3,U,D
69349367,105,5,C,D
74569870,99,4,E,E
59364791,100,1,B,B
40189258,101,3,D,D
57834338,106,4,B,D
43477476,99,1,E,C
26831817,117,8,A*,C
96441909,95,2,B,E
68147867,102,1,D,C
94049631,100,2,D,B
64918879,118,3,B,B
20906368,106,3,C,B
25615405,114,1,A,C
35271908,89,3,U,U
74305100,107,5,D,C
68462596,113,1,C,B
87830745,105,4,D,D
75857941,115,4,B,A
85271429,99,3,D,A
24648345,118,8,C,U
54090114,120,1,A,A
68359834,100,5,B,C
13716786,100,5,B,C
19252697,119,1,A*,C
65440068,120,7,A*,B
71937513,99,2,E,U
41021054,100,2,B,B
39583263,101,1,C,C
45248021,91,2,U,U
21592809,95,3,D,E
52649172,94,4,E,E
76720093,96,2,U,D
47025455,104,3,B,D
74699799,106,3,E,A*
32384116,120,7,A*,B
87744895,94,2,U,U
48155535,114,1,B,C
31447120,102,2,B,D
99746624,104,2,C,B
93392757,111,5,A,B
66923112,93,1,D,C
67531666,108,3,C,C
50316499,106,1,C,C
16163893,109,1,D,B
15490136,107,2,D,C
68972635,120,6,A*,C
34996554,98,2,D,E
84809482,99,1,U,E
34195934,98,1,U,E
41980263,98,1,C,U
50153585,98,2,D,E
31209706,116,1,B,A*
81556295,118,3,A*,C
91057905,98,1,C,E
72346571,96,2,C,E
23984188,109,5,C,B
96033388,98,1,E,C
62687012,110,3,B,A
52627998,106,1,D,D
13674424,89,3,E,U
45324864,119,3,E,U
58747121,120,8,A*,A
89485970,98,3,U,D
55313153,100,2,E,A
89388863,107,3,D,B
98246170,107,6,C,E
26684525,111,1,A,C
66845821,120,4,B,B
94231419,102,6,D,A
73298368,96,3,C,E
79331089,90,1,C,E
78336272,97,3,C,C
40542494,104,3,D,B
87456300,120,5,U,A
52133801,99,4,B,A
82317867,106,4,C,B
96209204,104,2,C,C
30969330,116,8,C,U
64150547,120,7,A*,C
61493070,99,4,D,E
72279116,99,1,D,E
52163714,114,5,A,C
90253483,111,3,A,C
59464129,120,7,B,A
86792223,110,2,A,C
50847428,100,3,C,B
78204080,110,1,A,A
74257018,115,2,B,C
72631710,112,1,B,C
38739043,109,5,C,B
57341274,115,9,A*,B
82949868,116,3,D,E
30174134,118,2,D,B
95497800,110,3,B,B
37407664,102,1,C,D
84227942,105,1,C,B
62157283,116,1,A,B
15378213,96,1,C,D
82067887,108,1,B,B
33184715,100,4,B,D
78104903,104,4,B,C
93061277,117,9,A*,A
73912143,106,1,B,B
83535575,104,2,C,C
44332292,90,1,U,E
31329805,111,3,B,A
69068417,110,4,C,A
30444900,120,8,B,A
89523209,101,1,C,B
26701853,106,3,C,B
21503712,106,1,B,C
85092449,120,2,A*,A
96541458,103,1,C,C
19549522,107,1,D,B
45407426,110,5,C,B
24019615,106,4,D,C
58154564,100,2,D,D
74317750,106,1,C,C
72668113,115,8,A,B
33640271,94,4,E,E
40125177,105,4,D,B
13859215,97,1,U,E
41395593,116,2,U,D
42250457,89,1,E,B
76082937,98,4,D,E
31827290,108,1,B,C
23734281,120,2,B,C
12874352,103,4,B,D
62721997,98,3,D,E
39334685,120,6,A*,A
86561703,90,4,C,C
17671590,82,2,U,D
12085679,108,2,B,B
99163893,99,3,E,E
69560323,94,3,D,D
28505626,111,4,A,B
47054061,106,2,D,C
47161393,98,3,E,C
34130735,91,7,U,E
46308512,113,3,C,C
13733221,111,6,A,A
21914953,103,2,C,D
20280552,120,7,A,C
37594350,93,4,U,U
89784956,89,2,D,D
17072133,97,3,C,C
39814865,104,1,D,D
80335814,106,1,C,C
79653046,102,4,C,B
78616490,108,1,C,C
68569911,91,3,D,U
65430743,118,8,A,A
80614058,103,1,C,D
93401062,115,9,A*,C
39701102,107,4,B,D
30717372,109,1,D,B
79297318,110,7,C,B
21932022,108,5,B,C
51608873,110,4,B,E
76594012,117,3,A,C
72766847,106,4,C,B
86567630,111,7,A,B
39272927,103,2,D,B
84423779,118,2,B,C
59534745,97,1,C,E
74331617,120,7,A*,C
10926200,104,5,B,B
25188312,90,1,E,C
29968697,105,3,U,E
95358990,97,1,U,D
53667125,112,7,B,C
39977953,97,4,U,C
85585185,100,1,D,B
30122477,85,8,B,A*
76654239,99,1,D,E
73935507,80,4,C,D
64567966,88,3,D,D
65615767,112,7,C,C
82476624,112,6,C,C
75497589,108,1,B,D
35052144,94,2,U,U
60010051,104,2,C,B
88021574,104,4,D,D
26137240,92,1,C,D
52149069,119,2,A,B
22432427,113,1,C,C
49034089,102,1,D,C
71940320,104,1,B,D
66329208,106,5,B,C
80361141,84,3,E,D
17804390,102,2,D,B
26623457,97,2,C,D
86311978,94,3,U,C
28707869,101,5,C,B
96574169,120,3,A*,B
79079849,110,2,B,A
26191520,98,1,D,C
85147602,110,7,A,A
35501638,118,4,A*,B
99656942,113,3,B,B
36022500,105,5,B,C
40974530,98,3,U,C
33991322,111,3,B,B
12856862,108,2,D,C
15259370,113,8,B,A
62263457,110,1,C,C
39883459,114,7,A,B
94597155,99,1,D,D
14920617,117,3,B,A
28940402,106,2,D,B
60781527,120,4,A,B
59691692,97,3,C,U
10984698,120,3,A,A
95828824,106,1,C,B
63493156,97,1,D,E
85848976,99,4,D,E
53381227,101,1,D,D
86492342,108,4,B,C
38207526,109,1,D,D
92602249,98,2,D,E
63553858,104,1,D,B
44007277,120,8,B,C
19891436,120,9,A*,C
97259081,108,5,B,C
23580971,104,1,D,C
73768358,105,2,B,D
21932708,110,2,A,B
99547166,94,2,E,U
50038938,101,1,B,B
63672403,87,3,U,D
83783759,108,2,B,D
13785458,110,3,B,B
80871206,99,4,C,E
58976097,120,8,A*,C
28081945,92,1,E,D
68677707,89,2,E,U
31907738,106,2,D,C
35727666,114,1,A,C
92734982,120,8,A*,B
17887749,99,6,B,B
31250351,115,6,B,B
22490828,104,3,B,B
14212510,102,4,U,C
66011421,113,8,D,D
16743716,111,4,B,B
53509262,88,2,E,U
28313868,119,9,A,C
67796764,118,7,B,A
33548278,98,2,U,U
61529168,108,2,C,D
70117843,109,1,C,D
76632794,107,5,C,D
75146257,98,3,D,D
65666793,97,4,E,U
36900978,104,5,D,B
83217195,116,3,A,C
91163926,109,1,D,B
78967376,100,3,D,C
92485351,112,4,A,C
75141344,80,3,E,D
36976478,115,8,A*,B
72813318,87,2,U,E
15421468,100,4,C,D
31179160,93,2,C,C
28357707,91,4,E,C
26143088,116,4,B,B
82650356,99,1,D,U
86707532,107,2,D,B
48123394,104,4,B,D
48229038,109,2,D,B
38719472,105,2,D,B
17535708,91,3,C,U
55836553,114,3,B,C
89820450,99,1,C,U
13902925,88,2,D,E
55423218,100,3,C,D
13047283,119,9,A,C
19347801,113,5,B,A
51776852,101,4,B,B
92372201,101,2,C,B
54007126,101,3,U,A*
31912242,120,6,A,C
93719329,108,3,D,E
96553750,108,5,D,C
14712659,114,5,D,A
85145288,106,5,D,B
94588444,101,3,B,B
40800452,102,3,D,C
45536184,103,4,B,D
12358148,104,3,C,D
95308787,111,1,B,A
74681244,105,2,C,D
63431453,111,7,B,C
16701150,103,1,B,C
62430569,105,2,D,C
61154917,84,1,E,E
93169930,113,2,B,C
53402176,107,4,C,D
15029375,114,4,B,B
57067908,80,1,D,D
37878235,120,7,A*,C
32591909,103,1,B,B
50139454,115,1,A*,A
32388856,94,6,U,U
61331154,110,5,A,B
94138778,93,2,U,U
61649633,98,3,U,D
82605930,120,4,A,B
12664671,102,5,B,C
81520344,106,4,B,C
59035646,113,4,A,A
23080225,109,4,D,C
95728817,106,5,B,C
75604311,108,5,D,C
51282767,120,5,A*,A
73434487,103,1,D,B
20038444,106,4,D,A
51583716,115,1,A*,A
56707498,115,1,E,C
70011793,116,2,B,C
68567813,110,5,C,B
45283866,93,2,D,D
86531443,120,6,A,A
78521445,93,3,C,E
44453480,107,3,B,B
92712531,96,2,D,U
96634734,103,2,B,C
57190263,107,2,C,C
73147715,107,5,B,D
46530666,108,2,D,D
46527942,120,4,A,B
90942401,109,2,B,C
72081358,102,1,C,B
28158706,114,1,A,A
29673770,116,6,B,C
78695622,92,2,C,D
16675764,110,1,C,A
88716729,111,6,B,B
41099622,101,3,A,B
46041445,118,7,B,A
14032199,102,4,D,C
85475874,105,8,E,U
44392052,102,3,C,C
27943356,104,1,D,C
94283017,93,3,C,D
34420846,90,4,C,C
34916749,120,6,B,B
26260216,96,2,U,U
19477386,94,3,B,A
71859651,82,2,U,U
38732756,98,4,D,D
77785793,91,3,U,U
